w,time_exponent,bo1_0,bz1_0,bz2_0,bo1_1,bz1_1,bz2_1,bt_1,thm_1,tm1_1,tm0_1,om1_1,om2_1,th_1,t1_1,o1_0,o2_0,z1_0,z2_0,z3_0,t1_0,t0_0,t0_1,o1_1,o2_1,z1_1,z2_1,z3_1,g1,g2,b1,b2,lmd
0.44,0.7589,0.001332560855417,0.0229657586611881,7.728473576990564e-05,4.428101733522791e-12,0.0069708071951876,0.0,2.799934677857251e-12,0.0,8.782791717712367e-13,6.223093014191887e-13,0.0,0.0,0.0,5.861526919111432e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4744029344730116e-14,1.7721900503398556e-13,2.3359846493312722e-14,0.0,0.0,0.0,1.7259686460604983e-10,0.9999999403520922,0.976128339218971,1.0,0.0308411682083826
0.46,0.7749,0.00143765503981,0.0224461078651077,8.150051565240198e-05,6.326707238467403e-08,0.006916814315196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999993885368772,0.9948062135500793,0.999999840503334,0.0324131203047206
0.48,0.7901,0.0016534674824619,0.0236231385585907,9.599001032284014e-05,1.9226131923141808e-10,0.0072515817377029,3.659643843467913e-10,1.6012457463582947e-10,3.780714683128678e-11,6.913259722795042e-11,1.4057782266743758e-10,1.8036394416712439e-10,5.044796205087354e-11,1.7233582042349395e-10,1.5604967037123995e-10,5.941138079006321e-10,6.655811979687816e-10,4.905689017363687e-10,1.8356958228922127e-10,1.6490732883288938e-10,3.718838071143993e-10,4.391243809544127e-10,2.1968343270016318e-10,4.381667437760182e-10,5.786239618395319e-11,7.668316673922062e-10,8.934348803507429e-11,1.2769266417990228e-10,9.055348215078464e-09,0.9691069762326512,0.9932570937309084,0.996542424056636,0.0342151566160242
0.5,0.7981,2.203963175516346e-07,4.066054526734308e-06,2.281642421241841e-09,1.5852942672266634e-07,4.806940437385007e-09,1.882637831388656e-09,1.0775717473171568e-07,1.9699640633306453e-18,1.9933660011622928e-10,4.765124241223777e-08,5.4886397805753195e-11,6.346073502251446e-11,2.0945784923206936e-11,2.2177062509407007e-10,1.4579465800594992e-05,2.5611187361213863e-11,3.9907655257647054e-05,1.0623517507389368e-07,6.043178237385715e-11,1.7560380526161699e-09,0.042763705678687,1.4746554027100282e-07,2.4484448957515016e-10,2.2010686971064526e-10,1.1147003822442986e-05,2.4663705788249536e-10,3.6626920516753834e-10,0.9680962519665244,0.000219625740535,0.9999999961840338,0.9556154538072812,0.032071941904485
0.52,0.8062,1.54254201e-06,5.05512093e-06,1.72808885e-06,5.6069207e-07,2.15634435e-06,2.27271617e-07,1.09891085e-06,3.61917724e-19,1.43598576e-07,4.54742821e-09,3.36617764e-07,3.73763821e-08,1.37124822e-08,3.78381656e-10,7.79669555e-06,1.00850586e-08,1.85740379e-05,2.86565699e-07,4.62632722e-10,2.85589587e-08,0.0453669838,9.5970175e-07,8.9125645e-11,3.40072592e-10,4.02043425e-06,1.56746357e-10,2.28625519e-08,0.98687829,4.06104366e-05,0.999818164,0.95676515,0.0306926662
0.54,0.8142,5.42549613e-07,8.20911609e-06,3.2233713e-06,6.5795248e-07,1.1140497e-06,5.7361871e-07,1.93391579e-07,2.66868095e-13,8.45402252e-11,5.13877244e-08,3.40148524e-07,1.78413666e-10,1.24287145e-13,1.27133502e-08,4.21973508e-05,7.54216556e-09,0.000196663106,1.94416312e-07,2.76423232e-10,9.52665363e-08,0.0476487148,2.76841257e-07,9.52111522e-08,1.83284977e-09,6.55790093e-05,3.82676412e-10,2.45015569e-10,0.999865876,5.84616332e-05,0.999987986,0.947399018,0.0302238682
0.56,0.8226,2.8014935468987786e-07,2.817560050860378e-07,4.133706258667094e-07,9.772398304744912e-09,1.109371655202075e-06,6.161535977556018e-11,5.518480514369656e-09,1.279803987614358e-13,3.4943865378204266e-08,8.160257819627819e-07,1.5251860262373002e-07,1.1530278686466983e-10,2.9719253613654074e-11,7.782474040746668e-11,0.0002148973952385,2.1503325643292663e-10,0.0007988197611887,2.0234845638048403e-06,1.7258618473728812e-10,3.044584588689206e-07,0.0497510851257984,1.7482380750480193e-05,1.0429694515750868e-07,1.2875660991259518e-10,0.0004070041247242,9.277771059305251e-11,1.699891040479878e-10,0.997854539993155,6.912015154698871e-06,0.9998546047908884,0.968613123050052,0.0306378097362996
0.58,0.8308,2.658587874931465e-07,3.3293302825872397e-10,4.5918361193579923e-07,7.831018273309713e-08,2.8496453180602875e-10,5.8532651417114304e-08,3.615482431131817e-07,1.3978574889147708e-20,8.88205689168537e-12,4.669293564548833e-10,1.0981349628043169e-07,3.717874922043795e-11,3.408695955931019e-11,9.064211978849664e-12,0.0003359761343998,1.3961901823089836e-10,0.0017046072848461,5.307759483090864e-07,3.8398959882167765e-11,2.1409140321183803e-07,0.0510122131544208,2.8686453951739083e-05,2.391806071594314e-07,2.8900166876983132e-11,0.0005871614321516,3.1691260900797496e-11,9.050288315856492e-11,0.99999773838932,2.262554452460961e-06,0.999999998812392,0.994085489137401,0.0320484091140667
0.6,0.8392,1.2220016270010937e-07,4.67031289640845e-07,2.3914655059427744e-08,1.4580986594865558e-11,2.036679378257176e-07,1.7558116208029899e-10,2.404917272119255e-11,2.542636667101797e-11,8.436625505076233e-09,1.8168925929285507e-06,3.729334764763633e-07,5.67578838894768e-10,4.7243797148317327e-11,2.647913501464093e-10,0.0004914172084012,1.4923040248546434e-10,0.0026074317130823,5.301652038503455e-06,2.6378959863696853e-10,1.1197782071650397e-07,0.0526898641058429,1.7263535803811846e-06,7.360381226542771e-12,5.104145217196314e-10,0.0009253702969417,3.2942468386871524e-10,7.793742323085743e-10,0.9999768543430084,9.832380133108276e-06,0.9999997355501612,0.8276373166710842,0.0342125567513882
0.62,0.8477,6.000373413090406e-07,1.911416660505037e-07,1.649472829981674e-07,2.9613294255957723e-08,4.025748995880723e-07,1.2665038016429746e-08,9.219241995633248e-08,9.306919525567812e-19,9.667014296583376e-11,1.7399405668957693e-08,3.2273739917358024e-08,7.64794269198776e-10,9.24208448815071e-10,1.2002158913562543e-10,0.0005877961858169,5.881699665033451e-10,0.0035289543575157,2.1348824558330976e-06,3.5915508448541007e-10,7.319819170802268e-07,0.0548723486465606,7.369951833953716e-05,7.401442876618104e-07,6.076953427182705e-10,0.0012122136286649,6.159670312348357e-10,4.0324146641527884e-10,0.999956824379256,7.93981665250579e-06,0.9999920282646634,0.9990602900931006,0.0371507034951511
0.64,0.8561,1.0515105836950237e-07,1.0254187994587097e-06,8.25305011393562e-08,4.676125761708222e-14,4.711697266564001e-07,3.6394874699526046e-14,1.2497936817972117e-12,5.382348410872164e-11,4.3880920056636784e-10,1.965506571339213e-07,3.7903090839286265e-07,6.912976313366145e-11,2.1476377015240163e-10,1.0758755693170804e-10,0.0007210114273034,2.7499427985505312e-08,0.0045659512841712,5.519222555775573e-06,8.090561718694078e-11,5.6943929233515e-07,0.0566447493250518,9.94329285268195e-05,6.916974958772421e-07,2.7951759150792368e-11,0.0015119515571697,1.1516511545638118e-13,2.4011755789481684e-10,0.9999687604125914,2.8226716137768275e-05,0.9999993912923156,0.9786356135963268,0.0409089189484976
0.66,0.8643,9.387785269784335e-11,7.71704504153055e-10,1.0880392688336994e-10,2.550612884957865e-10,1.7752754415666375e-09,1.166543408966834e-08,3.829485009474695e-11,4.060535765248108e-12,2.8069511039045373e-11,9.47915535908773e-10,5.992975701194253e-07,5.8107202099389706e-11,2.9424202262066096e-10,1.0496927257555488e-11,0.0011002676856879,4.458224993047532e-09,0.0072779066807302,1.2543544384368562e-05,1.130381091072649e-09,6.3988514352589125e-06,0.0565443821787776,0.0001369944814034,2.2324931691367216e-06,7.895142251115226e-11,0.0023946272824272,4.403012924901349e-11,9.379840856162922e-11,0.9657692565003716,4.575864150958748e-08,0.993733400566516,0.6793862364728834,0.0449053935889167
0.68,0.8717,7.613963342631226e-08,1.4354846191497781e-07,7.547577563137805e-08,1.3405749806865704e-08,2.865407399061571e-07,2.190437029909169e-09,3.223816756826485e-09,2.652621268939855e-17,4.598097078221432e-09,3.5279828041942565e-11,2.518490563088051e-07,7.997984878361292e-10,8.985917900289892e-11,3.517033960190328e-13,0.0016727936485281,4.517810326140815e-07,0.0110125406283661,3.85802189897738e-05,8.997764250704855e-11,1.764972738291204e-05,0.0556814134519859,0.0002785474075829,5.39573896800485e-06,2.2861593021792962e-12,0.0035939056032498,8.304122863600383e-13,1.207656360941064e-12,0.9126137048774524,5.1883628887172745e-06,0.9833715027690666,0.975276111911478,0.0488295278775672
