w,time_exponent,thm_1,tm1_1,tm0_1,om1_1,om2_1,th_1,t1_1,o1_0,o2_0,z1_0,z2_0,z3_0,t1_0,t0_0,t0_1,o1_1,o2_1,z1_1,z2_1,z3_1,g,b,lmd
0.68,0.8717,4.387215201099034e-17,9.495882352472038e-11,9.67324365569189e-09,3.807351617465102e-09,2.3098282445213137e-11,9.11398173092307e-12,4.9331641361417564e-12,0.0016777970390734834,9.160860046404541e-10,0.011072246138459786,3.564210467716019e-05,3.585072980387122e-11,1.75986631483176e-05,0.0556345434809934,0.0002997323773415951,6.767916924991765e-06,4.440239615882786e-11,0.0035859475455095884,3.222378999666666e-11,2.7886902864891278e-11,0.9116267237844202,0.983072114704346,0.048796262436458994
0.7,0.878,0.0,0.0,8.415376167514848e-08,5.2448981454046776e-08,0.0,2.8797694223348613e-12,0.0,0.002256637048940461,5.909443614152689e-07,0.014994219219041255,7.26268057703134e-05,4.634628596705665e-12,3.0348178331802987e-05,0.054498973614989336,0.00033873664809422837,1.0807402369959734e-05,1.3163507873506788e-11,0.004758510432504683,1.0814312212832481e-10,0.0,0.8624400582497465,0.9726014638501571,0.05278054463430303
0.72,0.8829,3.219146346173576e-12,1.6235007910728436e-11,2.9662484516116434e-07,3.6789852859839666e-07,7.067391227440361e-12,2.4564386705279712e-11,1.7756605981050625e-10,0.0029782616514954377,9.99225624797026e-07,0.019251862164413353,0.0001434525777127456,8.835559677615776e-10,5.868148497011358e-05,0.05333825437023143,0.00041973536656322646,1.8646784010237466e-05,1.6167931783576221e-10,0.006026700261046157,2.0213202318274523e-09,1.020297118962533e-10,0.8097039407268967,0.9617405810554218,0.056879844703168925
0.74,0.8865,9.712104883346318e-18,1.4767060849846673e-11,1.668136519542656e-11,6.484253008804922e-09,1.308604633255407e-12,1.2154527529610576e-11,1.685405462095507e-10,0.0036181575267855764,1.784538476040917e-06,0.023213956152268334,0.000240506556412356,4.932912901886568e-16,8.246663218581258e-05,0.05236038054637226,0.00041081968083057994,2.1222925376803746e-05,3.978791516617623e-14,0.007167648152469589,2.411518914803568e-11,1.1624234339914045e-13,0.7658058727616371,0.9523042738468884,0.0611288723977455
0.76,0.8886,2.3120320445321546e-11,9.429197362147195e-13,7.413164092982714e-08,1.0242039404808038e-07,2.5036676430331416e-10,4.794786198716746e-09,3.05610887793601e-11,0.004308929275344868,2.9037611161735304e-06,0.027082401807768726,0.00038752452871776335,1.5798953858085557e-09,0.00011892931935472584,0.05147404725758209,0.0004183702521311895,2.6160950344410338e-05,2.412876422073191e-11,0.00827136300576144,7.738143608497041e-11,3.009218336593113e-11,0.7235723906083795,0.9434393301589005,0.06555246734607294
0.78,0.8891,1.4998680772993558e-12,2.04845828136866e-11,2.714076650977056e-09,1.71763194462876e-08,4.0021472940481484e-11,8.536386425660074e-10,6.89803357977558e-09,0.004865964138295724,5.802063456836396e-06,0.030348356777645205,0.0005769845786068877,9.36555740474403e-13,0.00018424810673947474,0.05103886516147086,0.0005037383476242993,3.662159896339242e-05,2.888776319499909e-11,0.009170086684360675,1.329912517170662e-11,5.0790825617490694e-11,0.6872738801936799,0.9359665807799725,0.07020326503406395
0.8,0.888,1.4834743063935118e-09,3.12725227830981e-12,1.1145884095094774e-07,4.478633872284912e-08,7.707252146459415e-11,1.468937749765247e-09,2.5858272000782403e-08,0.005388053838922759,1.0271792389087141e-05,0.03343229238096832,0.0008124305176625067,4.253387818228923e-08,0.00027003006449622687,0.05058385492460862,0.0005682463168322311,4.561224399047028e-05,6.26391492071156e-11,0.010018013514796626,7.89654769489057e-12,2.3469109963669326e-10,0.653051930670189,0.9294051734915165,0.07514072777641707
0.82,0.8852,8.077851215246074e-15,1.684847678480218e-10,5.65926552895336e-09,1.3913479618209078e-08,1.6688250152462414e-10,4.0173818724278346e-08,3.692888971321767e-09,0.005818959304492681,1.721037312247095e-05,0.036054312688019015,0.0011144970783540187,2.7878660289842296e-10,0.0004030371404750887,0.05018204859553877,0.0006842232959448864,6.086209580369678e-05,1.0882110504153828e-09,0.01072781694302141,9.649789913164687e-10,4.101096951204023e-10,0.621155377643107,0.9238205967212856,0.0804103398098933
0.84,0.8805,1.4828081486802327e-12,9.037422458123685e-12,2.1781006213879956e-07,1.934539780352304e-07,2.773767530625263e-10,1.9958460556481926e-08,8.132350426228526e-10,0.006158422006602297,2.8059968393810105e-05,0.03829325720520059,0.0014784131284695298,8.56081775956117e-09,0.0005905337243767476,0.04984571997408831,0.0008176842461344058,8.103980709039714e-05,4.878095909354662e-10,0.011385277417231752,5.070447313138572e-09,9.287933902491341e-12,0.5906587070994177,0.9194792407013759,0.08618643130479191
0.86,0.8738,1.1913131120553763e-10,2.416602479815463e-12,1.300552962676549e-07,1.0879359783108108e-07,1.1565786016045594e-12,1.475846754275167e-11,1.2353281527905795e-11,0.006373861848692835,4.349605519066301e-05,0.04013076470743242,0.0019302053851508608,4.302240686276408e-08,0.0008617656230941844,0.049381845150694215,0.0010043813113894023,0.00010662043243465806,1.2220613462885777e-10,0.011929616108677309,1.8177320135257067e-11,2.0924512035720875e-11,0.5608476004781795,0.9162589775342321,0.09255333025696791
0.88,0.8649,2.6929205810989123e-09,5.521251621888198e-10,1.5654817372151312e-07,9.229690762387237e-08,1.1814611211712902e-09,3.7626726817997454e-08,7.50857870521821e-09,0.006440824225132812,6.861941602304224e-05,0.041564329149187035,0.002469383540651633,9.643900730695927e-08,0.0012449611235838206,0.048859128153040006,0.0012428927728169717,0.00014312943623512987,3.0026656366480484e-11,0.012398323964914961,7.810988190676905e-11,1.65967039015694e-11,0.5313292453132454,0.9146348281397043,0.09980991081201947
0.9,0.8536,8.734619191397111e-08,1.0576378413897777e-08,1.0288405149342993e-07,1.6068377806909903e-08,1.3698340895626383e-11,2.3454473825347493e-09,3.3687428099886953e-10,0.006344377617771924,0.00010193849714483153,0.042676843500646315,0.0031351169572146347,2.66188253209321e-07,0.0017652075108464975,0.048232735628105296,0.0015191787035153368,0.00018935885888015172,1.5395514790288775e-10,0.012844690377963104,1.3891580799994787e-10,1.0651115037200241e-10,0.5016686825321431,0.9151707342748907,0.10838938679196933
0.92,0.8395,1.2377269500490237e-06,2.588115469452791e-07,3.663750487610244e-07,2.606064917769112e-07,4.588260827697247e-10,2.507621209248141e-09,5.408971340702378e-12,0.005895245376318791,0.00013988446772907723,0.0419130581536894,0.003735874757395359,2.830313028532181e-06,0.002403115026096627,0.045535492025276215,0.0019375008793160937,0.00028178562893441003,0.0,0.013340892946135564,5.444257050212781e-09,0.0,0.45633046315416814,0.9153459184453606,0.10823171534071512
0.94,0.8203,0.0,0.0,2.9488697381918136e-05,2.0717540897595e-05,1.0683205939119937e-13,1.800491897773009e-12,0.0,0.004956209221571751,0.00018196637877288167,0.036776164845487784,0.003865454617564141,1.2872560042881714e-05,0.0030487175660441884,0.03816342662937122,0.002789092673930828,0.0005697370860899745,0.0,0.013893097242637192,8.598722333782668e-07,4.67212751908619e-13,0.37402915886594984,0.9113267048864611,0.08207518145180986
0.96,0.7944,0.0,0.0,0.00026046525283908087,0.00022697748202030445,0.0,5.584811333662283e-08,1.8006499909451526e-08,0.0038212545887168032,0.00022968612142086194,0.031122785494942327,0.004209377836886914,8.29206102877358e-05,0.0038095510618161633,0.03146542744830542,0.0038580891561293138,0.001113478090597539,0.0,0.01382614399360529,1.980173369721725e-05,0.0,0.29749277960764164,0.9149913829401375,0.05800693760486421
0.98,0.7568,1.5802516400528428e-06,1.162328252295632e-06,0.012519899484046677,0.0002936923107224508,6.456417526470561e-06,4.834517369888931e-05,6.885511495219751e-06,0.002005219003220729,0.00045897600462936443,0.0007195940868773947,0.02462519414487813,3.0777398645695495e-05,0.0003228161661593304,0.1,0.06317477848282557,0.0006133432290072155,1.98588584095051e-05,0.00018923128837823244,0.010751330468220393,1.2737612340588001e-07,0.4201806323918879,0.9824586875528273,0.05135114782007092
